งวด,Actual,Predicted
2024-10-16,22.77253333333333,22.934233331346512
2024-10-17,22.6972,22.930115926043193
2024-10-18,22.632733333333334,22.916377594502766
2024-10-19,22.612400000000004,22.893279252608618
2024-10-20,22.6093,22.86397270871798
2024-10-21,22.637200000000004,22.835448218552273
2024-10-22,22.688366666666667,22.81457147825559
2024-10-23,22.73953333333333,22.807140580018363
2024-10-24,22.7848,22.812898077583313
2024-10-25,22.7844,22.82688483435313
2024-10-26,22.784000000000002,22.84371390883128
2024-10-27,22.7616,22.858260316292444
2024-10-28,22.733833333333337,22.86730146800677
2024-10-29,22.675933333333337,22.870940758832294
2024-10-30,22.587633333333333,22.86420031619072
2024-10-31,22.549599999999998,22.845070185677212
