งวด,ซื้อตั๋วเงิน,ซื้อเงินโอน,อัตราขาย
26 มิ.ย. 2557,0.7097,0.7282,0.7544
27 มิ.ย. 2557,0.711,0.7287,0.7559
30 มิ.ย. 2557,0.712,0.7293,0.7566
02 ก.ค. 2557,0.7122,0.7299,0.7571
03 ก.ค. 2557,0.7112,0.729,0.756
04 ก.ค. 2557,0.7135,0.731,0.7576
07 ก.ค. 2557,0.714,0.7318,0.7592
08 ก.ค. 2557,0.7143,0.7319,0.7591
09 ก.ค. 2557,0.7165,0.7331,0.7608
10 ก.ค. 2557,0.7129,0.7305,0.7576
14 ก.ค. 2557,0.7093,0.7224,0.753
15 ก.ค. 2557,0.7084,0.7261,0.7526
16 ก.ค. 2557,0.7063,0.7241,0.752
17 ก.ค. 2557,0.7071,0.7247,0.7517
18 ก.ค. 2557,0.7086,0.7262,0.7523
21 ก.ค. 2557,0.7077,0.7203,0.7547
22 ก.ค. 2557,0.7044,0.7214,0.7491
23 ก.ค. 2557,0.7039,0.7219,0.7487
24 ก.ค. 2557,0.7046,0.7225,0.7492
25 ก.ค. 2557,0.7043,0.7216,0.7483
28 ก.ค. 2557,0.7044,0.7223,0.7492
29 ก.ค. 2557,0.7033,0.7209,0.7477
30 ก.ค. 2557,0.7029,0.7206,0.7471
31 ก.ค. 2557,0.7065,0.7234,0.7509
01 ส.ค. 2557,0.7059,0.7233,0.7515
04 ส.ค. 2557,0.7058,0.723,0.7493
05 ส.ค. 2557,0.7071,0.7245,0.7516
06 ส.ค. 2557,0.7067,0.7242,0.7513
07 ส.ค. 2557,0.704,0.7205,0.7487
08 ส.ค. 2557,0.7009,0.7127,0.746
13 ส.ค. 2557,0.6981,0.7158,0.7431
14 ส.ค. 2557,0.6986,0.7161,0.7422
15 ส.ค. 2557,0.6984,0.7158,0.7437
18 ส.ค. 2557,0.6985,0.7161,0.7433
19 ส.ค. 2557,0.6986,0.7162,0.743
20 ส.ค. 2557,0.699,0.7163,0.7432
21 ส.ค. 2557,0.6999,0.7175,0.7446
22 ส.ค. 2557,0.6987,0.7163,0.7423
25 ส.ค. 2557,0.6996,0.7174,0.7441
26 ส.ค. 2557,0.6986,0.7163,0.7422
27 ส.ค. 2557,0.6993,0.717,0.7435
28 ส.ค. 2557,0.7007,0.7184,0.7448
29 ส.ค. 2557,0.7012,0.7187,0.7452
01 ก.ย. 2557,0.702,0.7196,0.746
02 ก.ย. 2557,0.7045,0.7222,0.7499
03 ก.ย. 2557,0.7053,0.7181,0.7511
04 ก.ย. 2557,0.7043,0.723,0.7489
05 ก.ย. 2557,0.7043,0.7229,0.749
08 ก.ย. 2557,0.704,0.7218,0.7479
09 ก.ย. 2557,0.7045,0.7222,0.7492
10 ก.ย. 2557,0.7019,0.7148,0.749
11 ก.ย. 2557,0.7018,0.7192,0.7464
12 ก.ย. 2557,0.7012,0.7192,0.7468
15 ก.ย. 2557,0.7038,0.7215,0.7475
16 ก.ย. 2557,0.7002,0.7186,0.7452
17 ก.ย. 2557,0.6992,0.7169,0.7426
18 ก.ย. 2557,0.6966,0.7134,0.741
19 ก.ย. 2557,0.6937,0.7104,0.7377
22 ก.ย. 2557,0.6942,0.7114,0.7378
23 ก.ย. 2557,0.6938,0.7114,0.7376
24 ก.ย. 2557,0.6937,0.7113,0.7376
25 ก.ย. 2557,0.6947,0.7124,0.7378
26 ก.ย. 2557,0.6908,0.7085,0.7346
29 ก.ย. 2557,0.6902,0.7071,0.7339
30 ก.ย. 2557,0.6911,0.7085,0.7348
01 ต.ค. 2557,0.6913,0.7086,0.7349
02 ต.ค. 2557,0.6927,0.7102,0.7371
03 ต.ค. 2557,0.6938,0.7113,0.7378
06 ต.ค. 2557,0.6943,0.7119,0.7394
07 ต.ค. 2557,0.699,0.7166,0.7422
08 ต.ค. 2557,0.6997,0.7175,0.7434
09 ต.ค. 2557,0.697,0.7131,0.74
10 ต.ค. 2557,0.6947,0.7124,0.7386
13 ต.ค. 2557,0.693,0.7107,0.737
14 ต.ค. 2557,0.6942,0.712,0.7382
15 ต.ค. 2557,0.6943,0.7113,0.7387
16 ต.ค. 2557,0.6936,0.7112,0.7367
17 ต.ค. 2557,0.6919,0.7095,0.7353
20 ต.ค. 2557,0.692,0.7085,0.7352
21 ต.ค. 2557,0.6909,0.7085,0.7338
22 ต.ค. 2557,0.6913,0.7087,0.7339
24 ต.ค. 2557,0.6935,0.7112,0.7372
27 ต.ค. 2557,0.694,0.7116,0.7378
28 ต.ค. 2557,0.6943,0.7118,0.7376
29 ต.ค. 2557,0.6961,0.7135,0.7397
30 ต.ค. 2557,0.6963,0.7139,0.7402
31 ต.ค. 2557,0.6949,0.7109,0.739
03 พ.ย. 2557,0.6947,0.7121,0.739
04 พ.ย. 2557,0.6965,0.7141,0.7401
05 พ.ย. 2557,0.6986,0.7151,0.7427
06 พ.ย. 2557,0.6987,0.7154,0.7418
07 พ.ย. 2557,0.6994,0.7169,0.7437
10 พ.ย. 2557,0.6998,0.7172,0.7437
11 พ.ย. 2557,0.7007,0.7183,0.7448
12 พ.ย. 2557,0.7016,0.7183,0.745
13 พ.ย. 2557,0.7017,0.719,0.7455
14 พ.ย. 2557,0.7013,0.7189,0.7452
17 พ.ย. 2557,0.7011,0.7179,0.7448
18 พ.ย. 2557,0.6994,0.717,0.743
19 พ.ย. 2557,0.6989,0.7163,0.7425
20 พ.ย. 2557,0.6976,0.7142,0.7425
21 พ.ย. 2557,0.6989,0.7163,0.742
24 พ.ย. 2557,0.6993,0.7167,0.7428
25 พ.ย. 2557,0.7004,0.7173,0.7437
26 พ.ย. 2557,0.7005,0.7172,0.743
27 พ.ย. 2557,0.7005,0.7171,0.7438
28 พ.ย. 2557,0.7014,0.7183,0.7444
01 ธ.ค. 2557,0.7021,0.7196,0.7459
02 ธ.ค. 2557,0.702,0.7204,0.7459
03 ธ.ค. 2557,0.7038,0.722,0.7479
04 ธ.ค. 2557,0.7044,0.7233,0.7498
08 ธ.ค. 2557,0.7089,0.7255,0.7534
09 ธ.ค. 2557,0.7101,0.7264,0.7538
11 ธ.ค. 2557,0.7045,0.7233,0.75
12 ธ.ค. 2557,0.7053,0.7242,0.751
15 ธ.ค. 2557,0.704,0.7234,0.7503
16 ธ.ค. 2557,0.7039,0.7218,0.7501
17 ธ.ค. 2557,0.7092,0.7255,0.7525
18 ธ.ค. 2557,0.705,0.7239,0.75
19 ธ.ค. 2557,0.7026,0.7214,0.7474
22 ธ.ค. 2557,0.7035,0.7226,0.7488
23 ธ.ค. 2557,0.7089,0.7261,0.752
24 ธ.ค. 2557,0.705,0.7238,0.7497
25 ธ.ค. 2557,0.7048,0.7238,0.7504
26 ธ.ค. 2557,0.7048,0.7238,0.7513
29 ธ.ค. 2557,0.7046,0.7233,0.7493
30 ธ.ค. 2557,0.7085,0.7243,0.7512
05 ม.ค. 2558,0.7038,0.7176,0.7516
06 ม.ค. 2558,0.7023,0.7189,0.746
07 ม.ค. 2558,0.7005,0.7166,0.7444
08 ม.ค. 2558,0.7006,0.7163,0.7432
09 ม.ค. 2558,0.7016,0.7184,0.745
12 ม.ค. 2558,0.702,0.7186,0.7455
13 ม.ค. 2558,0.702,0.719,0.7465
14 ม.ค. 2558,0.7034,0.7209,0.7483
15 ม.ค. 2558,0.7026,0.7206,0.7476
16 ม.ค. 2558,0.6973,0.7122,0.7491
19 ม.ค. 2558,0.6924,0.7152,0.7431
20 ม.ค. 2558,0.6956,0.7196,0.747
21 ม.ค. 2558,0.7002,0.7155,0.7503
22 ม.ค. 2558,0.7004,0.7215,0.7491
23 ม.ค. 2558,0.702,0.7174,0.7547
26 ม.ค. 2558,0.7032,0.7258,0.7533
27 ม.ค. 2558,0.7024,0.7258,0.753
28 ม.ค. 2558,0.7024,0.7259,0.7531
29 ม.ค. 2558,0.699,0.7254,0.7529
30 ม.ค. 2558,0.7077,0.729,0.7567
02 ก.พ. 2558,0.7026,0.7252,0.7532
03 ก.พ. 2558,0.7021,0.7243,0.7525
04 ก.พ. 2558,0.7038,0.7269,0.7545
05 ก.พ. 2558,0.7033,0.7257,0.7532
06 ก.พ. 2558,0.7019,0.7245,0.7517
09 ก.พ. 2558,0.7018,0.7235,0.7507
10 ก.พ. 2558,0.7003,0.7213,0.7486
11 ก.พ. 2558,0.7004,0.722,0.7497
12 ก.พ. 2558,0.7006,0.7224,0.7505
13 ก.พ. 2558,0.7018,0.7229,0.7503
16 ก.พ. 2558,0.7018,0.7237,0.7505
17 ก.พ. 2558,0.7016,0.7231,0.7499
18 ก.พ. 2558,0.7015,0.7229,0.7499
19 ก.พ. 2558,0.7019,0.7242,0.7517
20 ก.พ. 2558,0.7015,0.7234,0.7511
23 ก.พ. 2558,0.6945,0.7208,0.7505
24 ก.พ. 2558,0.7004,0.7225,0.7496
25 ก.พ. 2558,0.7016,0.7235,0.7515
26 ก.พ. 2558,0.7011,0.7232,0.751
27 ก.พ. 2558,0.7002,0.7216,0.749
02 มี.ค. 2558,0.6999,0.7208,0.7475
03 มี.ค. 2558,0.6997,0.7203,0.7479
05 มี.ค. 2558,0.6998,0.7206,0.7479
06 มี.ค. 2558,0.6993,0.7212,0.7481
09 มี.ค. 2558,0.7015,0.723,0.7503
10 มี.ค. 2558,0.7016,0.7233,0.7513
11 มี.ค. 2558,0.7017,0.7237,0.751
12 มี.ค. 2558,0.7087,0.7292,0.7569
13 มี.ค. 2558,0.7044,0.7287,0.7555
16 มี.ค. 2558,0.7043,0.7286,0.7553
17 มี.ค. 2558,0.7041,0.7281,0.7557
18 มี.ค. 2558,0.7022,0.7251,0.7515
19 มี.ค. 2558,0.6987,0.7199,0.7492
20 มี.ค. 2558,0.6936,0.7114,0.7462
23 มี.ค. 2558,0.692,0.7141,0.7408
24 มี.ค. 2558,0.6924,0.7136,0.7416
25 มี.ค. 2558,0.6918,0.7134,0.7414
26 มี.ค. 2558,0.6918,0.7129,0.7407
27 มี.ค. 2558,0.692,0.7136,0.7407
30 มี.ค. 2558,0.6932,0.7154,0.742
31 มี.ค. 2558,0.6923,0.7141,0.7412
01 เม.ย. 2558,0.6932,0.7154,0.742
02 เม.ย. 2558,0.6932,0.7147,0.744
03 เม.ย. 2558,0.6948,0.7181,0.7455
07 เม.ย. 2558,0.6937,0.7169,0.7451
08 เม.ย. 2558,0.694,0.7174,0.745
09 เม.ย. 2558,0.6895,0.7169,0.7473
10 เม.ย. 2558,0.6885,0.7159,0.7462
16 เม.ย. 2558,0.7109,0.7166,0.7435
17 เม.ย. 2558,0.6868,0.7153,0.7446
20 เม.ย. 2558,0.6951,0.7179,0.745
21 เม.ย. 2558,0.6951,0.7192,0.7465
22 เม.ย. 2558,0.6951,0.7186,0.7464
23 เม.ย. 2558,0.6952,0.7188,0.7464
24 เม.ย. 2558,0.6999,0.7204,0.7482
27 เม.ย. 2558,0.7018,0.7235,0.7509
28 เม.ย. 2558,0.702,0.725,0.7518
29 เม.ย. 2558,0.7027,0.7257,0.7533
30 เม.ย. 2558,0.7025,0.7242,0.7531
06 พ.ค. 2558,0.7117,0.7285,0.764
07 พ.ค. 2558,0.7121,0.7337,0.7628
08 พ.ค. 2558,0.7137,0.7362,0.765
11 พ.ค. 2558,0.7161,0.7394,0.7673
12 พ.ค. 2558,0.7192,0.7407,0.7687
13 พ.ค. 2558,0.7188,0.7395,0.767
14 พ.ค. 2558,0.7136,0.7325,0.7668
15 พ.ค. 2558,0.7186,0.7401,0.7682
18 พ.ค. 2558,0.719,0.7402,0.7674
19 พ.ค. 2558,0.7134,0.7354,0.7643
20 พ.ค. 2558,0.7153,0.7394,0.7681
21 พ.ค. 2558,0.7187,0.7386,0.7662
22 พ.ค. 2558,0.7142,0.7372,0.7655
25 พ.ค. 2558,0.7137,0.7368,0.7652
26 พ.ค. 2558,0.7193,0.7401,0.7686
27 พ.ค. 2558,0.7202,0.7417,0.7694
28 พ.ค. 2558,0.721,0.7383,0.7734
29 พ.ค. 2558,0.7218,0.7438,0.7713
02 มิ.ย. 2558,0.7206,0.7437,0.771
03 มิ.ย. 2558,0.7205,0.7414,0.7695
04 มิ.ย. 2558,0.7156,0.7388,0.7671
05 มิ.ย. 2558,0.7141,0.7379,0.7661
08 มิ.ย. 2558,0.7141,0.7377,0.7652
09 มิ.ย. 2558,0.7137,0.7364,0.7637
10 มิ.ย. 2558,0.7136,0.7349,0.7634
11 มิ.ย. 2558,0.712,0.7338,0.7619
12 มิ.ย. 2558,0.7102,0.7313,0.7594
15 มิ.ย. 2558,0.7106,0.7318,0.7587
16 มิ.ย. 2558,0.7103,0.7327,0.7599
17 มิ.ย. 2558,0.7108,0.7336,0.7611
18 มิ.ย. 2558,0.711,0.7332,0.7607
19 มิ.ย. 2558,0.7124,0.7356,0.7629
22 มิ.ย. 2558,0.7122,0.7342,0.762
23 มิ.ย. 2558,0.7118,0.7338,0.7618
24 มิ.ย. 2558,0.7124,0.7357,0.7633
25 มิ.ย. 2558,0.7131,0.7355,0.7623
26 มิ.ย. 2558,0.7123,0.7354,0.7623
29 มิ.ย. 2558,0.7132,0.7359,0.7639
30 มิ.ย. 2558,0.7122,0.7346,0.7615
02 ก.ค. 2558,0.7124,0.7354,0.7625
03 ก.ค. 2558,0.7127,0.7356,0.7626
06 ก.ค. 2558,0.7136,0.7364,0.7634
07 ก.ค. 2558,0.7137,0.7366,0.7652
08 ก.ค. 2558,0.7185,0.7387,0.7664
09 ก.ค. 2558,0.7186,0.7387,0.7662
10 ก.ค. 2558,0.7148,0.7379,0.7648
13 ก.ค. 2558,0.7154,0.7395,0.7669
14 ก.ค. 2558,0.7189,0.7398,0.7675
15 ก.ค. 2558,0.7201,0.7411,0.7681
16 ก.ค. 2558,0.7205,0.7419,0.7709
17 ก.ค. 2558,0.7205,0.742,0.7705
20 ก.ค. 2558,0.7222,0.7441,0.7728
21 ก.ค. 2558,0.7241,0.7421,0.7762
22 ก.ค. 2558,0.7257,0.7489,0.7779
23 ก.ค. 2558,0.7319,0.7541,0.7837
24 ก.ค. 2558,0.7387,0.7547,0.7819
27 ก.ค. 2558,0.7291,0.7521,0.7814
28 ก.ค. 2558,0.7299,0.7516,0.7809
29 ก.ค. 2558,0.7312,0.7529,0.7821
31 ก.ค. 2558,0.7326,0.7559,0.7851
03 ส.ค. 2558,0.7314,0.7548,0.7826
04 ส.ค. 2558,0.7311,0.7531,0.7823
05 ส.ค. 2558,0.7319,0.754,0.7829
06 ส.ค. 2558,0.7319,0.755,0.7829
07 ส.ค. 2558,0.7313,0.7536,0.7818
10 ส.ค. 2558,0.7316,0.7544,0.7822
11 ส.ค. 2558,0.7325,0.7548,0.7845
13 ส.ค. 2558,0.7285,0.7493,0.7784
14 ส.ค. 2558,0.7281,0.7484,0.7775
17 ส.ค. 2558,0.729,0.7503,0.7783
18 ส.ค. 2558,0.7313,0.7529,0.781
19 ส.ค. 2558,0.7317,0.7547,0.7824
20 ส.ค. 2558,0.7317,0.7537,0.7816
21 ส.ค. 2558,0.7298,0.7512,0.7799
24 ส.ค. 2558,0.7298,0.7514,0.7791
25 ส.ค. 2558,0.7245,0.7476,0.7767
26 ส.ค. 2558,0.7287,0.7493,0.7777
27 ส.ค. 2558,0.729,0.7496,0.7781
28 ส.ค. 2558,0.7298,0.7505,0.7802
31 ส.ค. 2558,0.7,0.7419,0.7816
01 ก.ย. 2558,0.7305,0.752,0.7802
02 ก.ย. 2558,0.7299,0.751,0.7794
03 ก.ย. 2558,0.7299,0.7518,0.7799
04 ก.ย. 2558,0.7312,0.7528,0.7808
07 ก.ย. 2558,0.7304,0.7531,0.7824
08 ก.ย. 2558,0.7261,0.7558,0.7848
09 ก.ย. 2558,0.7324,0.7545,0.7832
10 ก.ย. 2558,0.7339,0.7582,0.7862
11 ก.ย. 2558,0.7333,0.7563,0.7843
14 ก.ย. 2558,0.7336,0.7559,0.7846
15 ก.ย. 2558,0.7337,0.757,0.785
16 ก.ย. 2558,0.7323,0.7554,0.784
17 ก.ย. 2558,0.7324,0.7518,0.7864
18 ก.ย. 2558,0.7326,0.7512,0.7857
21 ก.ย. 2558,0.732,0.7549,0.7826
22 ก.ย. 2558,0.7345,0.758,0.7861
23 ก.ย. 2558,0.7388,0.7598,0.7881
24 ก.ย. 2558,0.7382,0.7585,0.7867
25 ก.ย. 2558,0.7399,0.7605,0.789
28 ก.ย. 2558,0.7386,0.7597,0.7883
29 ก.ย. 2558,0.7416,0.764,0.7911
30 ก.ย. 2558,0.741,0.7626,0.7915
01 ต.ค. 2558,0.7418,0.7644,0.793
02 ต.ค. 2558,0.7431,0.7671,0.7965
05 ต.ค. 2558,0.7441,0.7689,0.7967
06 ต.ค. 2558,0.7444,0.7692,0.7981
07 ต.ค. 2558,0.7479,0.7634,0.7963
08 ต.ค. 2558,0.7432,0.7663,0.7952
09 ต.ค. 2558,0.7412,0.7632,0.7908
12 ต.ค. 2558,0.7407,0.7626,0.7903
13 ต.ค. 2558,0.7379,0.7594,0.7882
14 ต.ค. 2558,0.7381,0.7534,0.7894
15 ต.ค. 2558,0.7323,0.7546,0.7834
16 ต.ค. 2558,0.7318,0.7548,0.7824
19 ต.ค. 2558,0.7303,0.7525,0.7808
20 ต.ค. 2558,0.7314,0.7536,0.7822
21 ต.ค. 2558,0.7293,0.7502,0.7782
22 ต.ค. 2558,0.7305,0.752,0.7805
26 ต.ค. 2558,0.7287,0.7439,0.7801
27 ต.ค. 2558,0.7272,0.7474,0.7757
28 ต.ค. 2558,0.7236,0.746,0.7738
29 ต.ค. 2558,0.7246,0.7473,0.7746
30 ต.ค. 2558,0.723,0.7451,0.7737
02 พ.ย. 2558,0.7238,0.7468,0.7745
03 พ.ย. 2558,0.7235,0.7457,0.7736
04 พ.ย. 2558,0.7234,0.7454,0.7741
05 พ.ย. 2558,0.722,0.7444,0.7723
06 พ.ย. 2558,0.7231,0.7452,0.7728
09 พ.ย. 2558,0.7235,0.7465,0.7747
10 พ.ย. 2558,0.7236,0.7471,0.7748
11 พ.ย. 2558,0.7392,0.746,0.7729
12 พ.ย. 2558,0.7399,0.7464,0.7766
13 พ.ย. 2558,0.7385,0.7485,0.7778
16 พ.ย. 2558,0.7426,0.7486,0.7767
17 พ.ย. 2558,0.7424,0.7493,0.7763
18 พ.ย. 2558,0.7422,0.7506,0.777
19 พ.ย. 2558,0.7423,0.7486,0.7759
20 พ.ย. 2558,0.7408,0.7477,0.7749
23 พ.ย. 2558,0.7405,0.746,0.774
24 พ.ย. 2558,0.7405,0.7478,0.7752
25 พ.ย. 2558,0.7395,0.7456,0.7727
26 พ.ย. 2558,0.7395,0.7456,0.7729
27 พ.ย. 2558,0.738,0.7466,0.7733
30 พ.ย. 2558,0.7404,0.7471,0.775
01 ธ.ค. 2558,0.7398,0.7463,0.7734
02 ธ.ค. 2558,0.7384,0.7456,0.7726
03 ธ.ค. 2558,0.7399,0.7479,0.7745
04 ธ.ค. 2558,0.7412,0.7471,0.7752
08 ธ.ค. 2558,0.7412,0.7476,0.7755
09 ธ.ค. 2558,0.7426,0.7488,0.7758
11 ธ.ค. 2558,0.7432,0.7497,0.7771
14 ธ.ค. 2558,0.7415,0.749,0.7765
15 ธ.ค. 2558,0.742,0.7486,0.7756
16 ธ.ค. 2558,0.7395,0.746,0.7742
17 ธ.ค. 2558,0.7418,0.7487,0.7759
18 ธ.ค. 2558,0.7408,0.7482,0.7766
21 ธ.ค. 2558,0.7423,0.7494,0.7773
22 ธ.ค. 2558,0.7417,0.7484,0.7764
23 ธ.ค. 2558,0.7421,0.7504,0.7774
24 ธ.ค. 2558,0.7424,0.751,0.7784
25 ธ.ค. 2558,0.7428,0.7505,0.7769
28 ธ.ค. 2558,0.7442,0.7511,0.7781
29 ธ.ค. 2558,0.746,0.7533,0.7793
30 ธ.ค. 2558,0.7481,0.7555,0.7827
04 ม.ค. 2559,0.7478,0.7545,0.7818
05 ม.ค. 2559,0.7477,0.7537,0.7812
06 ม.ค. 2559,0.7518,0.7573,0.7849
07 ม.ค. 2559,0.7498,0.7575,0.7847
08 ม.ค. 2559,0.7499,0.7559,0.7844
11 ม.ค. 2559,0.7484,0.7545,0.7816
12 ม.ค. 2559,0.7484,0.7544,0.7814
13 ม.ค. 2559,0.7443,0.7514,0.7787
14 ม.ค. 2559,0.7425,0.7498,0.7761
15 ม.ค. 2559,0.7404,0.7477,0.7747
18 ม.ค. 2559,0.7399,0.746,0.7731
19 ม.ค. 2559,0.7401,0.7471,0.7734
20 ม.ค. 2559,0.7407,0.747,0.7748
21 ม.ค. 2559,0.738,0.7444,0.7719
22 ม.ค. 2559,0.7357,0.742,0.7696
25 ม.ค. 2559,0.735,0.7409,0.7677
26 ม.ค. 2559,0.7304,0.7367,0.7632
27 ม.ค. 2559,0.7273,0.7339,0.7604
28 ม.ค. 2559,0.7282,0.735,0.7624
29 ม.ค. 2559,0.7304,0.7359,0.764
01 ก.พ. 2559,0.7284,0.7352,0.7621
02 ก.พ. 2559,0.7275,0.7336,0.7612
03 ก.พ. 2559,0.7279,0.7356,0.7619
04 ก.พ. 2559,0.7279,0.7329,0.7603
05 ก.พ. 2559,0.7274,0.7329,0.7594
08 ก.พ. 2559,0.7243,0.7316,0.7575
09 ก.พ. 2559,0.7228,0.7296,0.7572
10 ก.พ. 2559,0.7248,0.73,0.7579
11 ก.พ. 2559,0.7224,0.7293,0.7568
12 ก.พ. 2559,0.7224,0.7291,0.758
