,Actual,Predicted
2024-10-02,0.601,0.6025955101013184
2024-10-03,0.6085,0.6025059856534004
2024-10-04,0.6081,0.6034340485394001
2024-10-05,0.6081,0.6045306673407554
2024-10-06,0.6081,0.6053774231731891
2024-10-07,0.6125,0.6058243922352791
2024-10-08,0.6107,0.6065467704296112
2024-10-09,0.6078,0.6070328398406506
2024-10-10,0.6074,0.6068757431268692
2024-10-11,0.6042,0.6063009348869324
2024-10-12,0.6042,0.6053267673015594
2024-10-13,0.6042,0.6043921034097671
2024-10-14,0.6042,0.6036573840737343
2024-10-15,0.5992,0.6031955364108086
2024-10-16,0.599,0.6025157983660698
2024-10-17,0.5969,0.6017846308708191
2024-10-18,0.5953,0.6010283265769482
2024-10-19,0.5953,0.6003608664631843
2024-10-20,0.5953,0.599910628503561
2024-10-21,0.6003,0.5996832535028458
2024-10-22,0.5996,0.5999337606191635
2024-10-23,0.5996,0.6002962771415711
2024-10-24,0.6034,0.600654853528738
2024-10-25,0.6009,0.6011994891822338
2024-10-26,0.6009,0.6016123906731605
2024-10-27,0.6009,0.6019056673705577
2024-10-28,0.5999,0.6020714089035988
2024-10-29,0.5988,0.6021491761565209
2024-10-30,0.5963,0.6021059851706028
2024-10-31,0.5997,0.6018477302253247
